05-05-23	OG111					15:20	KEF	BOS	21:30	TFAEW
05-05-23	OG121					15:40	KEF	SWF	21:50	TFPPF
05-05-23	OG505					19:55	WAW	KEF	00:15	TFPPB
05-05-23	OG615					20:10	BCN	KEF	00:45	TFPLB
05-05-23	OG665					20:25	MAD	KEF	01:00	TFPPA
05-05-23	OG695					20:40	LIS	KEF	01:05	TFPPE
05-05-23	OG102					22:50	BWI	KEF	04:50	TFPLA
05-05-23	OG142					22:50	IAD	KEF	04:55	TFPPC
05-05-23	OG122					23:10	SWF	KEF	04:40	TFPPF
05-05-23	OG112					23:15	BOS	KEF	04:40	TFAEW
06-05-23	OG400					06:00	KEF	CDG	09:30	TFPLA
06-05-23	OG900					06:20	KEF	CPH	09:30	TFPPB
06-05-23	OG800					06:30	KEF	STN	09:30	TFPPF
06-05-23	OG600					10:00	KEF	ALC	14:35	TFPPE
06-05-23	OG620					10:00	KEF	TFS	15:35	TFPPA
06-05-23	OG901					10:30	CPH	KEF	13:50	TFPPB
06-05-23	OG401					10:30	CDG	KEF	14:05	TFPLA
06-05-23	OG801					10:35	STN	KEF	13:40	TFPPF
06-05-23	OG141					15:00	KEF	IAD	21:40	TFPPF
06-05-23	OG101					15:05	KEF	BWI	21:40	TFPPB
06-05-23	OG111					15:20	KEF	BOS	21:30	TFPLA
06-05-23	OG601					15:35	ALC	KEF	20:20	TFPPE
06-05-23	OG121					15:40	KEF	SWF	21:50	TFPPC
06-05-23	OG621					16:35	TFS	KEF	22:15	TFPPA
06-05-23	OG102					22:50	BWI	KEF	04:50	TFPPB
06-05-23	OG142					22:50	IAD	KEF	04:55	TFPPF
06-05-23	OG122					23:10	SWF	KEF	04:40	TFPPC
06-05-23	OG112					23:15	BOS	KEF	04:40	TFPLA
07-05-23	OG700					05:45	KEF	BER	09:20	TFPPA
07-05-23	OG880					06:00	KEF	DUB	08:35	TFPPF
07-05-23	OG400					06:00	KEF	CDG	09:30	TFPLA
07-05-23	OG980					06:10	KEF	ARN	09:25	TFPPB
07-05-23	OG900					06:20	KEF	CPH	09:30	TFPPE
07-05-23	OG800					06:30	KEF	STN	09:30	TFPPC
07-05-23	OG7400					10:00	DUB	CDG	11:00	TFPLA
07-05-23	OG701					10:10	BER	KEF	13:55	TFPPA
07-05-23	OG981					10:25	ARN	KEF	13:50	TFPPB
07-05-23	OG901					10:30	CPH	KEF	13:50	TFPPE
07-05-23	OG401					10:30	CDG	KEF	14:05	TFPLA
07-05-23	OG881					10:35	DUB	KEF	13:15	TFPPF
07-05-23	OG801					10:35	STN	KEF	13:40	TFPPC
07-05-23	OG534					15:00	KEF	PRG	18:50	TFPPA
07-05-23	OG141					15:00	KEF	IAD	21:40	TFPPE
07-05-23	OG554					15:05	KEF	OPO	19:10	TFPPC
07-05-23	OG101					15:05	KEF	BWI	21:40	TFAEW
07-05-23	OG111					15:20	KEF	BOS	21:30	TFPLB
07-05-23	OG121					15:40	KEF	SWF	21:50	TFPPF
07-05-23	OG535					19:50	PRG	KEF	23:55	TFPPA
07-05-23	OG555					20:10	OPO	KEF	00:10	TFPPC
07-05-23	OG102					22:50	BWI	KEF	04:50	TFAEW
07-05-23	OG142					22:50	IAD	KEF	04:55	TFPPE
07-05-23	OG122					23:10	SWF	KEF	04:40	TFPPF
07-05-23	OG112					23:15	BOS	KEF	04:40	TFPLB
08-05-23	OG700					05:45	KEF	BER	09:20	TFPPA
08-05-23	OG880					06:00	KEF	DUB	08:35	TFPPF
08-05-23	OG400					06:00	KEF	CDG	09:30	TFAEW
08-05-23	OG980					06:10	KEF	ARN	09:25	TFPPC
08-05-23	OG900					06:20	KEF	CPH	09:30	TFPLB
08-05-23	OG800					06:30	KEF	STN	09:30	TFPPE
08-05-23	OG810					06:45	KEF	LPL	09:20	TFPPB
08-05-23	OG881					09:55	DUB	KEF	12:35	TFPPF
08-05-23	OG701					10:10	BER	KEF	13:55	TFPPA
08-05-23	OG981					10:25	ARN	KEF	13:50	TFPPC
08-05-23	OG901					10:30	CPH	KEF	13:50	TFPLB
08-05-23	OG401					10:30	CDG	KEF	14:05	TFAEW
08-05-23	OG801					10:35	STN	KEF	13:40	TFPPE
08-05-23	OG811					10:45	LPL	KEF	13:30	TFPPB
08-05-23	OG504					14:50	KEF	WAW	18:55	TFPPE
08-05-23	OG614					14:50	KEF	BCN	19:10	TFPLA
08-05-23	OG664					15:00	KEF	MAD	19:25	TFPPB
08-05-23	OG141					15:00	KEF	IAD	21:40	TFPPF
08-05-23	OG101					15:05	KEF	BWI	21:40	TFAEW
08-05-23	OG694					15:10	KEF	LIS	19:40	TFPPA
08-05-23	OG111					15:20	KEF	BOS	21:30	TFPLB
